               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,             0.02219,            0.029247,           0.0020793,             0.86005,             0.88694,             0.92648,             0.73656,            0.018689,            0.029048,           0.0028377,            0.003862,            0.003862,            0.003862
                  64,            0.022276,            0.030704,           0.0016773,             0.88336,             0.90336,             0.93278,             0.74943,            0.018416,            0.028799,           0.0022348,            0.003763,            0.003763,            0.003763
                  65,            0.020681,            0.028608,           0.0022462,             0.89427,             0.89051,             0.93619,             0.74529,            0.018486,            0.028752,           0.0019246,            0.003664,            0.003664,            0.003664
                  66,            0.020359,             0.02764,           0.0017108,               0.885,             0.89886,             0.93826,             0.74545,            0.018936,            0.029093,           0.0019092,            0.003565,            0.003565,            0.003565
                  67,            0.020865,            0.030017,           0.0016527,              0.8944,             0.89887,             0.93724,             0.74604,            0.018081,            0.029201,           0.0018423,            0.003466,            0.003466,            0.003466
                  68,            0.020688,            0.031887,           0.0013756,             0.90216,             0.89687,             0.93905,             0.73782,            0.018718,              0.0295,           0.0017658,            0.003367,            0.003367,            0.003367
                  69,            0.020503,            0.031415,           0.0018254,             0.89213,             0.87224,              0.9259,             0.71116,            0.019341,            0.029686,           0.0020994,            0.003268,            0.003268,            0.003268
                  70,            0.020366,            0.028586,           0.0014254,             0.85552,             0.87029,             0.90874,             0.72296,            0.018059,             0.02979,           0.0031806,            0.003169,            0.003169,            0.003169
                  71,            0.019803,            0.031439,           0.0015044,             0.86752,             0.88981,             0.92366,             0.73721,            0.018209,            0.030007,            0.002152,             0.00307,             0.00307,             0.00307
                  72,            0.020044,            0.027963,           0.0012642,             0.86697,             0.89863,             0.92881,             0.74554,            0.018081,            0.030382,           0.0016739,            0.002971,            0.002971,            0.002971
                  73,            0.020607,            0.028867,           0.0013656,             0.90315,             0.86574,             0.92641,             0.75091,            0.017908,            0.030702,           0.0014544,            0.002872,            0.002872,            0.002872
                  74,            0.019446,            0.028095,           0.0014508,             0.90267,               0.867,             0.92844,             0.74729,            0.018159,            0.031157,           0.0013838,            0.002773,            0.002773,            0.002773
                  75,            0.018369,            0.027231,           0.0010861,             0.89989,             0.86931,             0.92919,             0.74788,            0.018004,            0.031686,           0.0014151,            0.002674,            0.002674,            0.002674
                  76,            0.018744,             0.02628,           0.0017769,             0.86518,             0.89295,             0.92617,             0.74703,            0.017807,            0.031522,           0.0013887,            0.002575,            0.002575,            0.002575
                  77,            0.019104,            0.028225,           0.0012131,             0.87598,             0.87895,             0.92502,             0.74036,            0.018242,            0.031716,           0.0013733,            0.002476,            0.002476,            0.002476
                  78,            0.018573,            0.026964,           0.0010907,             0.87351,             0.86367,              0.9191,             0.73867,            0.017747,            0.031655,           0.0015581,            0.002377,            0.002377,            0.002377
                  79,            0.017654,            0.025278,           0.0012404,             0.88683,             0.84993,             0.92193,             0.73561,            0.017605,            0.031396,           0.0017993,            0.002278,            0.002278,            0.002278
                  80,            0.017614,            0.025648,            0.001174,             0.88201,             0.87029,             0.92748,             0.75051,            0.017127,            0.030882,           0.0016086,            0.002179,            0.002179,            0.002179
                  81,            0.018215,            0.029288,           0.0011293,             0.87049,             0.89273,              0.9291,              0.7493,            0.017142,            0.031096,           0.0014225,             0.00208,             0.00208,             0.00208
                  82,             0.01741,            0.023423,            0.001828,             0.86491,             0.90093,             0.92918,             0.75439,            0.017041,            0.030771,           0.0013191,            0.001981,            0.001981,            0.001981
                  83,            0.016804,            0.024519,           0.0011481,             0.89824,             0.87299,             0.92625,             0.75243,            0.017214,             0.03105,           0.0013239,            0.001882,            0.001882,            0.001882
                  84,            0.018256,            0.026956,           0.0010751,             0.89503,             0.87851,             0.92629,             0.74355,            0.017416,               0.031,           0.0014057,            0.001783,            0.001783,            0.001783
                  85,            0.018125,            0.027412,          0.00098772,             0.89099,             0.88928,             0.92826,             0.75026,            0.017325,            0.031224,           0.0014161,            0.001684,            0.001684,            0.001684
